file,m1,n1,m2,n2,ranks,op,alg,all_gather,computation,reduce_scatter,total,failed
node4_58128301.out,200,200,1000,1000,512,Ax,wbp,0.018078,0.231096,,0.249174,0
node4_58128301.out,200,200,1000,1000,512,ATx,wbp,,0.252697,0.068328,0.321025,0
node4_58128301.out,200,200,1000,1000,512,Ax,rrp,0.007185,0.215383,0.018006,0.24057399999999998,0
node4_58128301.out,200,200,1000,1000,512,ATx,rrp,0.001213,0.226676,0.077422,0.305311,0
node4_58128301.out,200,200,1000,1000,512,Ax,bcp,0.002146,0.237542,0.001969,0.241657,0
node4_58128301.out,200,200,1000,1000,512,ATx,bcp,0.001406,0.243563,0.027353,0.272322,0
node4_58128301.out,1000,1000,200,200,512,Ax,wbp,0.001472,0.259476,,0.26094799999999996,0
node4_58128301.out,1000,1000,200,200,512,ATx,wbp,,0.260662,0.006838,0.2675,0
node4_58128301.out,1000,1000,200,200,512,Ax,rrp,0.001483,0.259393,,0.260876,0
node4_58128301.out,1000,1000,200,200,512,ATx,rrp,,0.260702,0.006936,0.267638,0
node4_58128301.out,1000,1000,200,200,512,Ax,bcp,0.000201,0.261876,0.001899,0.263976,0
node4_58128301.out,1000,1000,200,200,512,ATx,bcp,0.000435,0.260376,0.011968,0.272779,0
node8_58128302.out,100,100,100,100,1024,Ax,wbp,0.000548,0.000133,,0.000681,0
node8_58128302.out,100,100,100,100,1024,ATx,wbp,,0.000138,0.000883,0.001021,0
node8_58128302.out,100,100,100,100,1024,Ax,rrp,0.000122,0.000123,8.3e-05,0.000328,0
node8_58128302.out,100,100,100,100,1024,ATx,rrp,3.6e-05,0.000121,0.000103,0.00026,0
node8_58128302.out,100,100,100,100,1024,Ax,bcp,9.5e-05,0.000121,8.7e-05,0.000303,0
node8_58128302.out,100,100,100,100,1024,ATx,bcp,3.1e-05,0.00012,0.000114,0.000265,0
node8_58128302.out,475,475,475,475,1024,Ax,wbp,0.007668,0.148735,,0.15640300000000001,0
node8_58128302.out,475,475,475,475,1024,ATx,wbp,,0.155164,0.018125,0.173289,0
node8_58128302.out,475,475,475,475,1024,Ax,rrp,0.004266,0.146477,0.036886,0.187629,0
node8_58128302.out,475,475,475,475,1024,ATx,rrp,0.000557,0.150418,0.032028,0.183003,0
node8_58128302.out,475,475,475,475,1024,Ax,bcp,0.000691,0.163301,0.002543,0.166535,0
node8_58128302.out,475,475,475,475,1024,ATx,bcp,0.001344,0.16382,0.018878,0.18404199999999998,0
node8_58128302.out,200,200,1000,1000,1024,Ax,wbp,0.030986,0.116725,,0.14771099999999998,0
node8_58128302.out,200,200,1000,1000,1024,ATx,wbp,,0.135073,0.0834,0.218473,0
node8_58128302.out,200,200,1000,1000,1024,Ax,rrp,0.006273,0.111413,0.045699,0.163385,0
node8_58128302.out,200,200,1000,1000,1024,ATx,rrp,0.000781,0.116782,0.015755,0.133318,0
node8_58128302.out,200,200,1000,1000,1024,Ax,bcp,0.00311,0.115062,0.000838,0.11900999999999999,0
node8_58128302.out,200,200,1000,1000,1024,ATx,bcp,0.001621,0.119338,0.044692,0.165651,0
node8_58128302.out,1000,1000,200,200,1024,Ax,wbp,0.001509,0.127668,,0.12917700000000001,0
node8_58128302.out,1000,1000,200,200,1024,ATx,wbp,,0.129994,0.00602,0.136014,0
node8_58128302.out,1000,1000,200,200,1024,Ax,rrp,0.001803,0.124648,0.000115,0.12656599999999998,0
node8_58128302.out,1000,1000,200,200,1024,ATx,rrp,2e-05,0.126935,0.014071,0.14102599999999998,0
node8_58128302.out,1000,1000,200,200,1024,Ax,bcp,0.000185,0.130553,0.000905,0.131643,0
node8_58128302.out,1000,1000,200,200,1024,ATx,bcp,0.000225,0.130113,0.006619,0.136957,0
